2019/1/8 10:56						
 time: 10.000000 						
 resolution: 0.080955 						
HH	27	17	17	18	18	20
HV	34632	16836	17428	17698	17591	11750
HR	16827	8410	8725	8768	8866	5869
HP	16428	8167	8584	8711	8497	6198
VP	5620	2686	2899	2876	2939	2044
VR	5340	2666	2756	2593	2809	1841
VH	11161	5411	5759	5662	5876	3765
VV	29	13	9	17	15	9
RV	17253	8700	8952	8840	8832	5973
RH	5561	2783	2781	2790	2921	1858
RR	1689	766	848	921	925	557
RP	11510	5599	5522	5774	4970	3769
PP	1610	849	792	841	875	605
PR	11047	5465	5458	5835	6569	3980
PH	5788	2815	2777	2915	3035	1796
PV	17924	8847	8989	9025	9267	5947
